time,z,y,x
21.3762,0.182856,0.00989662,-0.252205
21.4043,-0.0458257,0.146251,-0.0661521
21.436,-0.103937,0.149646,-0.269881
21.4771,-0.180002,0.251974,-0.0769296
21.5084,-0.0734725,0.326909,-0.76262
21.536,0.227537,0.0999747,-0.322258
21.5764,0.0231184,0.0963379,-0.13679
21.6086,-0.0016828,-0.064787,0.0192024
21.6363,0.314256,-0.00962025,-0.277796
21.6761,0.083487,-0.0928511,-0.0872799
21.7085,-0.0429512,-0.133414,0.228433
21.7359,0.177175,0.0347844,0.113056
21.7761,0.197571,-0.108134,-0.281048
21.8081,0.0441226,-0.279181,0.166024
21.836,0.328299,-0.31621,0.855032
21.8762,0.0533245,-0.06595,-0.0683937
21.9085,0.0166982,-0.209017,0.20469
21.936,0.0325562,-0.241856,1.00655
21.9721,-0.093879,-0.084063,0.143171
22.0074,-0.110937,-0.0344705,0.311848
22.0361,0.0288321,-0.0695944,0.614861
22.074,-0.0402972,-0.129482,0.218575
22.1072,0.30179,-0.393888,-0.0202712
22.1361,-0.0301348,-0.251964,0.651602
22.1751,-0.0277725,-0.172905,0.344189
22.2071,0.0109709,-0.0259993,0.322036
22.2361,-0.0959874,-0.14927,0.802227
22.2749,-0.212497,0.0577957,0.570446
22.3048,-0.0223423,-0.270959,0.547441
22.336,-0.136004,-0.321946,0.325947
22.3751,-0.285242,-0.0644788,0.416657
22.4041,-0.107036,-0.0528251,0.804873
22.4361,-0.136215,-0.275958,0.395913
22.476,0.105108,-0.278297,0.00425997
